estrella,звезда
palabra,слово
amor,любовь
palabra,слово
tiempo,время
luna,луна
pantalón,брюки
ropa,одежда
niño,ребёнок
camisa,рубашка
puerta,дверь
felicidad,счастье
trabajo,работа
amable,вежливый
canción,песня
amable,вежливый
idioma,язык
hombre,мужчина
camino,дорога
música,музыка
casa,дом
camisa,рубашка
música,музыка
dinero,деньги
día,день
playa,пляж
respuesta,ответ
libro,книга
amor,любовь
amigo,друг
gato,кот
montaña,гора
amigo,друг
rápido,быстрый
felicidad,счастье
respuesta,ответ
mar,море
amigo,друг
día,день
libro,книга
casa,дом
palabra,слово
mujer,женщина
palabra,слово
coche,машина
película,фильм
zapato,туфля
película,фильм
viaje,путешествие
perro,собака
montaña,гора
playa,пляж
amigo,друг
amor,любовь
hombre,мужчина
escuela,школа
estrella,звезда
trabajo,работа
luna,луна
agua,вода
mujer,женщина
mar,море
casa,дом
mar,море
estrella,звезда
niño,ребёнок
playa,пляж
agua,вода
agua,вода
playa,пляж
montaña,гора
puerta,дверь
día,день
sol,солнце
respuesta,ответ
casa,дом
ventana,окно
río,река
amor,любовь
niño,ребёнок
perro,собака
amigo,друг
hombre,мужчина
frase,фраза
niño,ребёнок
lento,медленный
ropa,одежда
casa,дом
familia,семья
respuesta,ответ
libro,книга
día,день
respuesta,ответ
gato,кот
día,день
ropa,одежда
amigo,друг
libro,книга
zapato,туфля
escuela,школа
camino,дорога
frase,фраза
pregunta,вопрос
ventana,окно
hombre,мужчина
amigo,друг
playa,пляж
escuela,школа
rápido,быстрый
gato,кот
camisa,рубашка
lento,медленный
canción,песня
película,фильм
coche,машина
estrella,звезда
día,день
canción,песня
palabra,слово
sol,солнце
pantalón,брюки
palabra,слово
estrella,звезда
familia,семья
escuela,школа
pantalón,брюки
casa,дом
lento,медленный
montaña,гора
frase,фраза
rápido,быстрый
estrella,звезда
trabajo,работа
trabajo,работа
mujer,женщина
río,река
día,день
música,музыка
escuela,школа
libro,книга
niño,ребёнок
camino,дорога
ciudad,город
estrella,звезда
noche,ночь
dinero,деньги
pregunta,вопрос
ropa,одежда
mujer,женщина
película,фильм
zapato,туфля
gato,кот
respuesta,ответ
mujer,женщина
camino,дорога
puerta,дверь
amigo,друг
tiempo,время
idioma,язык
sol,солнце
noche,ночь
casa,дом
casa,дом
mar,море
estrella,звезда
perro,собака
bosque,лес
respuesta,ответ
niño,ребёнок
amor,любовь
noche,ночь
amigo,друг
viaje,путешествие
dinero,деньги
lento,медленный
felicidad,счастье
niño,ребёнок
puerta,дверь
mar,море
viaje,путешествие
mar,море
niño,ребёнок
amigo,друг
estrella,звезда
canción,песня
viaje,путешествие
libro,книга
montaña,гора
ropa,одежда
camino,дорога
música,музыка
película,фильм
camisa,рубашка
niño,ребёнок
mujer,женщина
luna,луна
estrella,звезда
viaje,путешествие
río,река
música,музыка
agua,вода
día,день
montaña,гора
palabra,слово
familia,семья
mujer,женщина
canción,песня
felicidad,счастье
coche,машина
playa,пляж
rápido,быстрый
día,день
noche,ночь
bosque,лес
camisa,рубашка
palabra,слово
rápido,быстрый
día,день
canción,песня
escuela,школа
idioma,язык
dinero,деньги
mujer,женщина
luna,луна
montaña,гора
hombre,мужчина
perro,собака
sol,солнце
coche,машина
amor,любовь
montaña,гора
zapato,туфля
amigo,друг
dinero,деньги
agua,вода
tiempo,время
música,музыка
lento,медленный
hombre,мужчина
rápido,быстрый
pantalón,брюки
respuesta,ответ
río,река
amor,любовь
escuela,школа
sol,солнце
amor,любовь
noche,ночь
camisa,рубашка
idioma,язык
música,музыка
puerta,дверь
mar,море
camino,дорога
gato,кот
comida,еда
música,музыка
amor,любовь
gato,кот
casa,дом
camino,дорога
coche,машина
camisa,рубашка
coche,машина
mar,море
lento,медленный
rápido,быстрый
hombre,мужчина
trabajo,работа
día,день
amable,вежливый
comida,еда
noche,ночь
ropa,одежда
puerta,дверь
casa,дом
coche,машина
hombre,мужчина
película,фильм
amable,вежливый
río,река
música,музыка
amigo,друг
tiempo,время
mar,море
coche,машина
camino,дорога
película,фильм
música,музыка
familia,семья
puerta,дверь
escuela,школа
felicidad,счастье
escuela,школа
camisa,рубашка
día,день
luna,луна
comida,еда
mar,море
zapato,туфля
idioma,язык
bosque,лес
dinero,деньги
felicidad,счастье
música,музыка
sol,солнце
luna,луна
hombre,мужчина
libro,книга
trabajo,работа
tiempo,время
tiempo,время
viaje,путешествие
zapato,туфля
canción,песня
día,день
noche,ночь
familia,семья
río,река
respuesta,ответ
familia,семья
lento,медленный
playa,пляж
ciudad,город
felicidad,счастье
luna,луна
música,музыка
escuela,школа
noche,ночь
niño,ребёнок
mar,море
sol,солнце
puerta,дверь
frase,фраза
día,день
amable,вежливый
pregunta,вопрос
dinero,деньги
frase,фраза
felicidad,счастье
bosque,лес
niño,ребёнок
escuela,школа
estrella,звезда
mujer,женщина
mar,море
frase,фраза
trabajo,работа
respuesta,ответ
gato,кот
casa,дом
bosque,лес
respuesta,ответ
tiempo,время
amor,любовь
mujer,женщина
música,музыка
amable,вежливый
palabra,слово
niño,ребёнок
música,музыка
amor,любовь
estrella,звезда
casa,дом
respuesta,ответ
escuela,школа
luna,луна
amable,вежливый
viaje,путешествие
rápido,быстрый
trabajo,работа
coche,машина
mar,море
gato,кот
ventana,окно
mar,море
pregunta,вопрос
noche,ночь
tiempo,время
respuesta,ответ
puerta,дверь
ventana,окно
mujer,женщина
ropa,одежда
playa,пляж
hombre,мужчина
ropa,одежда
frase,фраза
viaje,путешествие
palabra,слово
agua,вода
amable,вежливый
felicidad,счастье
canción,песня
amor,любовь
música,музыка
mujer,женщина
casa,дом
tiempo,время
casa,дом
estrella,звезда
playa,пляж
idioma,язык
familia,семья
ciudad,город
ropa,одежда
casa,дом
coche,машина
ciudad,город
amable,вежливый
amigo,друг
puerta,дверь
zapato,туфля
puerta,дверь
palabra,слово
luna,луна
pregunta,вопрос
tiempo,время
pregunta,вопрос
casa,дом
familia,семья
ropa,одежда
trabajo,работа
bosque,лес
amable,вежливый
sol,солнце
trabajo,работа
libro,книга
respuesta,ответ
estrella,звезда
zapato,туфля
tiempo,время
perro,собака
dinero,деньги
trabajo,работа
zapato,туфля
playa,пляж
estrella,звезда
amable,вежливый
lento,медленный
día,день
dinero,деньги
respuesta,ответ
casa,дом
perro,собака
noche,ночь
playa,пляж
niño,ребёнок
canción,песня
amigo,друг
montaña,гора
camino,дорога
hombre,мужчина
respuesta,ответ
puerta,дверь
mujer,женщина
respuesta,ответ
agua,вода
río,река
montaña,гора
escuela,школа
frase,фраза
tiempo,время
camisa,рубашка
estrella,звезда
canción,песня
estrella,звезда
casa,дом
pregunta,вопрос
gato,кот
coche,машина
amor,любовь
película,фильм
respuesta,ответ
felicidad,счастье
montaña,гора
dinero,деньги
puerta,дверь
río,река
mujer,женщина
canción,песня
viaje,путешествие
gato,кот
perro,собака
casa,дом
bosque,лес
familia,семья
luna,луна
frase,фраза
perro,собака
comida,еда
canción,песня
amigo,друг
lento,медленный
música,музыка
música,музыка
ropa,одежда
camino,дорога
palabra,слово
perro,собака
idioma,язык
lento,медленный
viaje,путешествие
felicidad,счастье
respuesta,ответ
comida,еда
familia,семья
viaje,путешествие
canción,песня
camino,дорога
playa,пляж
frase,фраза
día,день
agua,вода
ciudad,город
frase,фраза
ventana,окно
rápido,быстрый
escuela,школа
pantalón,брюки
respuesta,ответ
frase,фраза
amable,вежливый
tiempo,время
frase,фраза
camisa,рубашка
pregunta,вопрос
amor,любовь
escuela,школа
familia,семья
mar,море
dinero,деньги
ventana,окно
escuela,школа
zapato,туфля
luna,луна
perro,собака
pantalón,брюки
frase,фраза
sol,солнце
idioma,язык
zapato,туфля
camino,дорога
libro,книга
sol,солнце
viaje,путешествие
viaje,путешествие
hombre,мужчина
playa,пляж
amor,любовь
pregunta,вопрос
coche,машина
agua,вода
felicidad,счастье
rápido,быстрый
palabra,слово
mujer,женщина
ropa,одежда
bosque,лес
música,музыка
amor,любовь
playa,пляж
niño,ребёнок
casa,дом
mar,море
camino,дорога
niño,ребёнок
trabajo,работа
pregunta,вопрос
música,музыка
perro,собака
noche,ночь
perro,собака
ropa,одежда
frase,фраза
escuela,школа
zapato,туфля
amor,любовь
felicidad,счастье
bosque,лес
frase,фраза
noche,ночь
camino,дорога
trabajo,работа
perro,собака
niño,ребёнок
amigo,друг
camino,дорога
amigo,друг
trabajo,работа
trabajo,работа
pregunta,вопрос
día,день
ropa,одежда
mujer,женщина
niño,ребёнок
tiempo,время
mujer,женщина
amor,любовь
zapato,туфля
película,фильм
felicidad,счастье
mujer,женщина
playa,пляж
pregunta,вопрос
amor,любовь
canción,песня
camino,дорога
pregunta,вопрос
mujer,женщина
río,река
respuesta,ответ
película,фильм
idioma,язык
puerta,дверь
casa,дом
río,река
camino,дорога
escuela,школа
amigo,друг
sol,солнце
escuela,школа
bosque,лес
luna,луна
película,фильм
sol,солнце
río,река
trabajo,работа
puerta,дверь
comida,еда
luna,луна
mujer,женщина
agua,вода
hombre,мужчина
bosque,лес
luna,луна
playa,пляж
libro,книга
libro,книга
mar,море
amor,любовь
música,музыка
rápido,быстрый
sol,солнце
rápido,быстрый
coche,машина
niño,ребёнок
agua,вода
sol,солнце
felicidad,счастье
palabra,слово
mar,море
lento,медленный
lento,медленный
palabra,слово
película,фильм
noche,ночь
mar,море
casa,дом
viaje,путешествие
camisa,рубашка
bosque,лес
libro,книга
montaña,гора
playa,пляж
familia,семья
gato,кот
amable,вежливый
lento,медленный
mar,море
camisa,рубашка
día,день
río,река
película,фильм
noche,ночь
día,день
perro,собака
amor,любовь
escuela,школа
niño,ребёнок
rápido,быстрый
niño,ребёнок
libro,книга
estrella,звезда
trabajo,работа
ventana,окно
música,музыка
rápido,быстрый
estrella,звезда
trabajo,работа
respuesta,ответ
lento,медленный
mar,море
tiempo,время
día,день
comida,еда
sol,солнце
perro,собака
gato,кот
amable,вежливый
trabajo,работа
mujer,женщина
gato,кот
lento,медленный
mar,море
noche,ночь
río,река
casa,дом
pantalón,брюки
noche,ночь
mujer,женщина
mujer,женщина
rápido,быстрый
libro,книга
gato,кот
dinero,деньги
coche,машина
respuesta,ответ
gato,кот
ciudad,город
palabra,слово
día,день
río,река
felicidad,счастье
niño,ребёнок
rápido,быстрый
niño,ребёнок
gato,кот
felicidad,счастье
libro,книга
viaje,путешествие
respuesta,ответ
río,река
amigo,друг
mujer,женщина
estrella,звезда
mujer,женщина
mar,море
playa,пляж
estrella,звезда
familia,семья
tiempo,время
agua,вода
camino,дорога
familia,семья
familia,семья
ciudad,город
mar,море
día,день
camisa,рубашка
zapato,туфля
idioma,язык
trabajo,работа
camino,дорога
luna,луна
perro,собака
camisa,рубашка
agua,вода
tiempo,время
amigo,друг
sol,солнце
zapato,туфля
trabajo,работа
frase,фраза
hombre,мужчина
luna,луна
sol,солнце
camino,дорога
